"","V1","V2"
"A0A672QCD1","C-C motif chemokine","4"
"A0A7L0YEI8","C-C motif chemokine (Fragment)","4"
"A0A7K8J0B4","C-C motif chemokine (Fragment)","4"
"A0A672SKS1","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7K4KQQ8","C-X-C motif chemokine (Fragment)","4"
"A0A7K8HDK4","C-C motif chemokine (Fragment)","4"
"K7FD18","C-C motif chemokine","4"
"K7GBS7","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A672Q2Q3","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A672Q313","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A672Q4L2","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A556V5W6","C-C motif chemokine","1"
"A0A7L1IGV3","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","4"
"A0A7K7VG58","C-C motif chemokine (Fragment)","4"
"A0A226NU23","C-C motif chemokine","4"
"A0A672HMK6","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A672IRS2","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A672IRT8","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7N8XWE1","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7K6W230","C-C motif chemokine (Fragment)","4"
"A0A7K8ISN8","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7L2TPQ1","C-C motif chemokine (Fragment)","4"
"A0A672RLF6","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A672RKH1","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"G3Q1Y2","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7N8XUG2","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7N8YHG1","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7L3QA96","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A6J2W1V0","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A6J2VSU0","C-C motif chemokine","4"
"A0A7L2TAY9","C-C motif chemokine (Fragment)","4"
"A0A7L2T6U3","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7L2TKH0","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","4"
"A0A672LL66","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7L2TYW6","C-C motif chemokine (Fragment)","4"
"G3NVJ0","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7N8WL32","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7N8YN93","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A3Q4GD09","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A091VWH2","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A091XHT2","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7L2TU45","C-C motif chemokine (Fragment)","4"
"A0A556UF76","C-C motif chemokine","4"
"A0A556U842","C-X-C motif chemokine","3"
"A0A7L0WBY8","C-C motif chemokine (Fragment)","4"
"A0A672ICQ5","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A3Q3MR20","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A672G6M3","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A3Q3M453","C-C motif chemokine","4"
"A0A672IEB5","Stress-activated protein kinase JNK (EC 2.7.11.24)","4"
"A0A7N8YQ99","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A3Q3RQX2","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A3Q4H852","C-C motif chemokine","4"
"A0A672SNE0","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7L2TWT2","C-X-C motif chemokine (Fragment)","4"
"A0A672Q1I0","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A226PID4","Multifunctional fusion protein [Includes: Interleukin-8 (IL-8) (C-X-C motif chemokine 8) (Chemokine (C-X-C motif) ligand 8); C-X-C motif chemokine]","4"
"A0A7N8XJD4","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A672SLI0","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A672SKB1","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A672T0V3","C-C motif chemokine","4"
"A0A7N8WZ87","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A672GWP5","C-C motif chemokine","4"
"A0A672T125","C-C motif chemokine","4"
"A0A226NTV7","TIR domain-containing adapter molecule 1 (TICAM-1)","1"
"A0A226NX04","C-C motif chemokine","4"
"A0A7L1IFT0","C-C motif chemokine (Fragment)","4"
"A0A672HBH7","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A7N8WQ39","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7N8X9N1","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A672IRV3","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A669DT10","C-C motif chemokine","4"
"A0A093IL01","C-C motif chemokine (Fragment)","4"
"A0A671WRH4","C-X-C motif chemokine","4"
"A0A7K6Z955","C-C motif chemokine (Fragment)","4"
"A0A671VP33","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7K9F6S9","C-C motif chemokine (Fragment)","4"
"A0A5J5CYR0","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"Q5SPQ9","C-C motif chemokine","4"
"A0A7K6AHR9","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","3"
"A0A671XNK8","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A671VDI9","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7K9FLM3","C-C motif chemokine (Fragment)","4"
"A0A671WJG9","C-X-C motif chemokine","4"
"A0A7K8C0P9","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A669DP33","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7L2LIN2","C-C motif chemokine (Fragment)","4"
"A0A669AYU1","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A3P9QCD6","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7K6ATV9","C-C motif chemokine (Fragment)","4"
"A0A671VSG3","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7L1N6M5","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7K5ND87","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","4"
"A0A3P9N5R2","C-X-C motif chemokine","4"
"A0A7K6YJH6","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7K6ANN7","Multifunctional fusion protein [Includes: Interleukin-8 (IL-8) (C-X-C motif chemokine 8) (Chemokine (C-X-C motif) ligand 8); C-X-C motif chemokine] (Fragment)","4"
"E7F787","C-C motif chemokine","4"
"A0A671VJZ0","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A671VFN8","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A671XT05","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A7K9PS22","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A671VDJ9","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A671YDI0","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A671YGG5","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A671V245","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A671WZE2","C-C motif chemokine","4"
"A0A7L4CQE3","C-C motif chemokine (Fragment)","4"
"A0A671WJH4","C-X-C motif chemokine","4"
"A0A3P9PDQ1","C-C motif chemokine","4"
"A0A7K5BAB2","C-C motif chemokine (Fragment)","4"
"A0A5J5D420","C-C motif chemokine","4"
"A0A7L0J5Q7","C-C motif chemokine (Fragment)","4"
"A0A0B8RUB4","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7K7BF82","C-C motif chemokine (Fragment)","4"
"A0A7K7BFJ6","C-C motif chemokine (Fragment)","4"
"A0A7K6YFZ0","C-C motif chemokine (Fragment)","4"
"A0A671YJG1","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A671WZE6","C-C motif chemokine","4"
"A0A671VK11","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7L1F880","C-C motif chemokine (Fragment)","4"
"A0A7N6ADT8","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7K6WHH1","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7K6W0D7","C-C motif chemokine (Fragment)","4"
"K7GBT4","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A3Q4M6X9","C-C motif chemokine","4"
"A0A7L1FKS4","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7K8UVZ3","C-C motif chemokine (Fragment)","4"
"A0A7K7ZB45","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A6J2V2V5","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"K7FCM7","C-C motif chemokine","4"
"A0A087VQB5","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A673B915","C-C motif chemokine","4"
"A0A7K7QMQ7","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7K7QL34","C-C motif chemokine (Fragment)","4"
"A0A7N6ACM6","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7K5RDG7","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A672Q197","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7L1FB97","C-X-C motif chemokine (Fragment)","4"
"A0A7K7CJA8","C-C motif chemokine (Fragment)","4"
"A0A7K7ZJ82","C-C motif chemokine (Fragment)","4"
"A0A7K8A7Q7","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7K8I9T6","C-C motif chemokine (Fragment)","4"
"A0A672ZQS7","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A401Q6A5","Multifunctional fusion protein [Includes: Interleukin-8 (IL-8) (C-X-C motif chemokine 8) (Chemokine (C-X-C motif) ligand 8); C-X-C motif chemokine]","4"
"A0A7K7ZS93","C-C motif chemokine (Fragment)","4"
"A0A7K8VB96","C-C motif chemokine (Fragment)","4"
"A0A5C6NI12","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"G3XEU9","Multifunctional fusion protein [Includes: Interleukin-8 (IL-8) (C-X-C motif chemokine 8) (Chemokine (C-X-C motif) ligand 8); C-X-C motif chemokine] (Fragment)","4"
"A0A672YXI8","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A3Q1HS30","C-C motif chemokine","4"
"A0A7N6B9L6","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7L1F7B0","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7N6A036","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7L1EZD8","C-C motif chemokine (Fragment)","4"
"R0M5K1","C-C motif chemokine (Fragment)","4"
"A0A670ZFN1","C-C motif chemokine","4"
"A0A673AVX9","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A670ZFP1","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7K7BVG0","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A3Q1GWS5","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A7L0YQ11","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7K8JFF0","C-X-C motif chemokine (Fragment)","4"
"A0A6J2VB62","C-C motif chemokine","4"
"A0A6J2V8H3","C-C motif chemokine","4"
"A0A6J2V6X4","C-C motif chemokine","4"
"A0A7K7QQH7","C-C motif chemokine (Fragment)","4"
"A0A3Q1IJ96","C-C motif chemokine","4"
"A0A7K4S744","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7L0YFX0","C-C motif chemokine (Fragment)","4"
"A0A3Q4GYK5","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A672LE87","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7N6A9E4","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A3Q1JPN1","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A6J2V1J3","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7K6W0A8","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","3"
"A0A673B0B0","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7K7QZV8","C-X-C motif chemokine (Fragment)","4"
"A0A7K7CJ59","C-C motif chemokine (Fragment)","4"
"A0A7K7BMG5","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7K8J3V2","C-C motif chemokine (Fragment)","4"
"A0A7K8VKW5","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A6J2VZC9","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A7K8JB02","C-C motif chemokine (Fragment)","4"
"A0A673B0C5","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A670ZT40","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7N6B7N1","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A6J2V8L3","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A6J2V2W3","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A6J2VIF2","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7L2Z6P0","C-C motif chemokine (Fragment)","4"
"A0A7L2NJQ1","C-C motif chemokine (Fragment)","4"
"A0A672YXA5","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A401Q386","Multifunctional fusion protein [Includes: Interleukin-8 (IL-8) (C-X-C motif chemokine 8) (Chemokine (C-X-C motif) ligand 8); C-X-C motif chemokine]","4"
"A0A401NH71","C-C motif chemokine","4"
"A0A7N6FJC9","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7K8VLG7","C-C motif chemokine (Fragment)","4"
"A0A7K6WFE4","C-C motif chemokine (Fragment)","4"
"A0A6J2VBW1","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"R0L1F0","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7N6FCU9","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A7L0YIJ7","C-C motif chemokine (Fragment)","4"
"A0A3Q4GYG6","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A6J2V2V8","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A3Q4GTT0","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A672RLS6","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A672LXR7","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A672LJ50","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A672Q9E0","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A672SNG9","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A672Q1E8","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A6J2V4E8","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"K7GCT4","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7K6QDP0","C-C motif chemokine (Fragment)","4"
"A0A7K6RAQ3","C-C motif chemokine (Fragment)","4"
"A0A672SK42","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A672Q4K5","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7K6WB31","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","4"
"A0A3Q4GWC4","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A226PVH1","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","3"
"A0A091W8F5","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"K7FDJ3","C-C motif chemokine","4"
"K7FC99","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A6J2UZK3","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"K7FCF0","C-C motif chemokine","4"
"A0A6J2VZG5","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A7K6QHH6","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7K6QP65","C-C motif chemokine (Fragment)","4"
"A0A7L0YK07","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7K5RMV2","C-C motif chemokine (Fragment)","4"
"A0A672LF22","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7K8VCH5","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7K8V4Y3","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7L2TAY1","C-C motif chemokine (Fragment)","4"
"A0A7K5HDM8","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A5N5M3D0","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7L2YW91","C-C motif chemokine (Fragment)","4"
"A0A672ZRN7","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A673ADJ7","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A087XXN7","C-C motif chemokine","4"
"A0A5N5PJE3","C-C motif chemokine","4"
"A0A672ZNY3","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7K6VF61","C-C motif chemokine (Fragment)","4"
"A0A670Z9D4","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A672YXJ9","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A672YXF8","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7K7WXD1","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","3"
"A0A7K7XDZ7","C-X-C motif chemokine (Fragment)","4"
"A0A3N0XH62","C-C motif chemokine","3"
"A0A5N5MJV4","Stress-activated protein kinase JNK (EC 2.7.11.24)","4"
"A0A7L2YEG7","C-C motif chemokine (Fragment)","4"
"A0A7L2P539","C-X-C motif chemokine (Fragment)","4"
"A0A5N5PJV2","C-C motif chemokine","4"
"A0A670Z8E8","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A0P7UU56","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","3"
"A0A7K4YME3","C-C motif chemokine (Fragment)","4"
"A0A672ZQ63","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7L2YVC0","C-C motif chemokine (Fragment)","4"
"A0A087XPH1","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"R0L9Y5","C-C motif chemokine","4"
"A0A672ZQ31","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7K4Y7X7","Multifunctional fusion protein [Includes: Interleukin-8 (IL-8) (C-X-C motif chemokine 8) (Chemokine (C-X-C motif) ligand 8); C-X-C motif chemokine] (Fragment)","4"
"A0A7K9SQ71","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","4"
"A0A7L2P5F9","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A670YJF8","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A673ACE0","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7L1UBP1","C-C motif chemokine (Fragment)","4"
"A0A7L1TXV1","C-C motif chemokine (Fragment)","4"
"A0A7K6VQV1","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A401PIB1","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A3Q1CS77","C-C motif chemokine","4"
"A0A7L2STU4","C-X-C motif chemokine (Fragment)","4"
"A0A7L2SAI1","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","4"
"A0A673B0L3","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7K9I9R9","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"R0K7Y5","Multifunctional fusion protein [Includes: Interleukin-8 (IL-8) (C-X-C motif chemokine 8) (Chemokine (C-X-C motif) ligand 8); C-X-C motif chemokine] (Fragment)","4"
"A0A6J2VIR5","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7L0Y5M8","C-C motif chemokine (Fragment)","4"
"A0A672LUM0","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7L2TSH3","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","4"
"A0A672LY15","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7L2TVW4","Multifunctional fusion protein [Includes: Interleukin-8 (IL-8) (C-X-C motif chemokine 8) (Chemokine (C-X-C motif) ligand 8); C-X-C motif chemokine] (Fragment)","4"
"A0A3Q1H5W4","C-X-C motif chemokine","4"
"A0A3Q4GVV9","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A672LHY3","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A672LG81","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A672LSU0","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A672LWV9","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A091WGD4","C-C motif chemokine (Fragment)","4"
"A0A672Q498","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A672Q1C4","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A672LPR9","C-X-C motif chemokine","4"
"A0A7K8UUG3","C-C motif chemokine (Fragment)","4"
"A0A672SM01","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A672LN74","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7L0YYJ4","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A672LI40","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A672Q0U7","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A672LRV4","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A6J2VYY4","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"K7FB05","C-C motif chemokine","4"
"A0A6J2W8B9","C-C motif chemokine","4"
"A0A6J2WB84","Multifunctional fusion protein [Includes: Interleukin-8 (IL-8) (C-X-C motif chemokine 8) (Chemokine (C-X-C motif) ligand 8); C-X-C motif chemokine]","4"
"A0A6J2VAU5","C-C motif chemokine","4"
"A0A7K5SIT4","C-C motif chemokine (Fragment)","4"
"A0A672LX37","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"G3PVL3","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7K7ZS58","C-C motif chemokine (Fragment)","4"
"A0A6J2V2W0","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A3Q4G4R3","C-C motif chemokine","4"
"A0A672LEQ1","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A672RJZ5","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"K7FP19","Multifunctional fusion protein [Includes: Interleukin-8 (IL-8) (C-X-C motif chemokine 8) (Chemokine (C-X-C motif) ligand 8); C-X-C motif chemokine]","4"
"A0A7K6WIX1","Multifunctional fusion protein [Includes: Interleukin-8 (IL-8) (C-X-C motif chemokine 8) (Chemokine (C-X-C motif) ligand 8); C-X-C motif chemokine] (Fragment)","4"
"A0A6J2VA29","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A6J2V6Q0","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A3Q4GPH8","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A672KL06","C-C motif chemokine","4"
"A0A678QSM7","Suppressor of cytokine signaling 5b2","2"
"A0A7L2P3U8","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A5N5KZC7","C-C motif chemokine","4"
"A0A673CC49","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"K7FR29","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"K7FC90","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"G8HAA1","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7K6R2Z1","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A6J2VBW6","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A672LA41","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A672LM87","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A672L9K4","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7L2TU27","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","4"
"A0A672YXK7","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A673AXD7","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7L1FWA8","C-C motif chemokine (Fragment)","4"
"A0A7K8HAC0","C-C motif chemokine (Fragment)","4"
"A0A7K8A190","C-C motif chemokine (Fragment)","4"
"K7GCT9","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A6J2W6K3","Multifunctional fusion protein [Includes: Interleukin-8 (IL-8) (C-X-C motif chemokine 8) (Chemokine (C-X-C motif) ligand 8); C-X-C motif chemokine]","4"
"A0A672SKF3","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A672LH06","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7N6C3V0","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7K8I395","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
